Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,eFG,REB,AST,STL,BLK,ast_tov
Alex Huibregtse,32.0,33.1,12.3,4.7,8.9,52.5,1.9,4.5,41.7,1.1,1.3,82.9,63.48314606741573,3.8,3.3,0.8,0.2,2.1999999999999997
Mackenzie Mgbako,33.0,27.0,12.2,4.0,10.1,39.5,1.5,4.6,32.7,2.8,3.4,82.1,47.02970297029703,4.1,1.3,0.4,0.4,1.0833333333333335
Mickey Pearson Jr.,29.0,34.7,12.2,3.7,8.6,43.0,1.4,4.0,35.9,3.4,4.0,85.3,51.162790697674424,5.1,0.8,0.6,0.3,0.7272727272727273
Joe Toussaint,34.0,33.4,12.2,3.8,9.4,40.0,1.0,3.4,29.6,3.7,4.3,86.3,45.744680851063826,2.6,4.3,1.4,0.0,1.9545454545454544
Tommie Lewis,30.0,29.5,12.2,4.0,9.7,41.1,2.0,5.9,34.5,2.2,3.0,73.3,51.54639175257733,4.2,2.3,1.7,0.6,1.2777777777777777
Caleb Fields,35.0,32.3,12.2,3.9,9.2,43.0,0.9,2.7,32.3,3.5,5.4,64.2,47.28260869565217,3.0,5.8,0.8,0.0,2.5217391304347827
Jabri Abdur-Rahim,29.0,26.0,12.2,3.0,8.3,36.1,2.1,6.0,35.6,4.1,4.6,88.7,48.795180722891565,3.5,0.3,0.8,0.3,0.3
Nick Davidson,34.0,28.9,12.2,4.4,8.1,54.5,0.8,2.6,29.2,2.6,3.4,75.7,59.25925925925927,7.3,1.4,0.7,0.7,1.0769230769230769
Amari Kelly,31.0,28.5,12.2,4.5,8.2,54.9,0.8,1.9,42.4,2.4,3.1,76.0,59.75609756097562,6.3,1.1,0.5,1.3,0.47826086956521746
Harrison Ingram,37.0,32.8,12.2,4.4,10.2,43.0,1.8,4.6,38.5,1.6,2.6,61.2,51.960784313725505,8.8,2.2,1.4,0.4,1.5714285714285716
Javan Simmons,32.0,31.0,12.2,4.7,8.6,54.0,0.3,0.8,32.0,2.6,3.6,73.7,56.39534883720931,5.0,1.5,0.5,0.9,1.3636363636363635
Jalen Bridges,35.0,31.8,12.2,4.1,8.8,46.6,2.1,5.1,41.2,1.9,2.3,82.3,58.52272727272726,5.7,1.4,1.1,0.6,1.4
Nique Clifford,36.0,30.3,12.2,4.6,8.9,52.2,1.1,3.0,37.6,1.8,2.3,75.9,57.865168539325836,7.6,3.0,1.4,0.9,1.6666666666666665
Keeshawn Kellman,32.0,24.6,12.2,5.0,7.3,68.4,0.0,0.2,0.0,2.2,3.1,69.0,68.4931506849315,7.0,0.9,0.3,1.2,0.45
Amari Williams,32.0,22.9,12.2,4.3,8.4,51.7,0.0,0.1,33.3,3.4,5.3,65.5,51.19047619047619,7.8,1.9,0.8,1.8,0.7916666666666666
Ethan Price,32.0,26.0,12.2,4.2,8.1,52.1,1.3,3.3,37.4,2.5,3.2,78.2,59.87654320987655,4.0,2.2,0.5,0.8,1.0
Max Rice,33.0,31.9,12.2,3.8,10.3,37.2,2.2,6.4,34.9,2.2,2.6,83.9,47.57281553398058,3.7,1.8,0.9,0.0,1.125
Isaiah Moses,33.0,29.8,12.2,4.1,10.3,39.9,1.6,4.8,32.9,2.3,2.8,84.6,47.572815533980574,2.9,3.8,0.9,0.0,1.727272727272727
Christian Shumate,34.0,28.6,12.1,4.9,8.7,56.1,0.3,1.1,23.1,2.1,4.6,46.5,58.045977011494266,9.5,0.9,0.9,1.4,0.6428571428571429
Elijah Stephens,29.0,30.1,12.1,4.4,9.6,46.0,1.1,3.2,33.0,2.2,2.7,82.3,51.5625,2.1,4.9,1.3,0.1,2.130434782608696
Alex Merkviladze,30.0,30.9,12.1,4.1,10.0,41.0,1.7,4.8,35.2,2.2,3.0,74.4,49.49999999999999,7.2,1.5,0.6,0.3,1.0714285714285714
Blondeau Tchoukuiegno,32.0,31.3,12.1,3.9,9.3,42.6,0.8,3.0,27.1,3.4,5.2,65.9,46.23655913978494,2.9,3.0,1.0,0.1,1.4285714285714286
